year,province,inpatient_discharges,avg_inpatient_cost,total_expenditure,population,pilot_population,exposure,gdp_per_capita,elderly_population,aging_rate,physicians_per_1000,beds_per_1000
2019,Jilin,"4,019,265","11,268","45,288,274,167",2448,411.6,16.81%,48456,2783,11.37%,2.9,6.33
2019,Heilongjiang,"6,017,206","9,847","59,253,232,644",3255,951.3,29.23%,42426,4020,12.35%,2.5,7
2019,Shanghai,"4,533,827","18,619","84,413,964,765",2481,2481,100.00%,162394,3055,12.31%,3.1,6.03
2019,Jiangsu,"15,234,276","12,966","197,521,528,906",8469,659.15,7.78%,118045,9447,11.15%,3.2,6.39
2019,Zhejiang,"11,028,274","11,437","126,133,678,220",6375,691.1,10.84%,102201,6374,10.00%,3.5,5.99
2019,Anhui,"10,324,099","8,432","87,053,835,178",6092,818.9,13.44%,61776,6923,11.36%,2.2,5.46
2019,Fujian,"6,077,814","10,041","61,027,330,374",4137,269,6.50%,103092,3086,7.46%,2.5,5.09
2019,Jiangxi,"8,826,585","9,228","81,448,195,746",4516,683.3,15.13%,54766,3686,8.16%,2.1,5.72
2019,Shandong,"18,499,273","10,598","196,058,995,109",10106,949.98,9.40%,71371,12402,12.27%,3.1,6.25
2019,Henan,"20,132,199","9,473","190,720,374,007",9901,519.22,5.24%,54378,8711,8.80%,2.6,6.64
2019,Hubei,"13,670,245","10,234","139,899,920,306",5927,1121.2,18.92%,76928,6026,10.17%,2.6,6.8
2019,Hunan,"16,067,021","9,178","147,466,332,142",6640,288.2,4.34%,60159,7078,10.66%,2.8,7.32
2019,Guangdong,"18,141,671","12,784","231,915,865,396",12489,815.86,6.53%,88954,7672,6.14%,2.5,4.73
2019,Guangxi,"10,436,404","9,622","100,420,122,928",4982,307.7,6.18%,42988,3930,7.89%,2.3,5.59
2019,Hainan,"1,289,504","10,678","13,769,323,712",995,92.07,9.25%,55054,685,6.88%,2.5,5.27
2019,Chongqing,"7,499,305","9,405","70,530,963,525",3188,3188,100.00%,74601,3725,11.68%,2.7,7.42
2019,Sichuan,"19,739,860","9,351","184,591,378,832",8351,121.4,1.45%,56584,10266,12.29%,2.6,7.54
2019,Guizhou,"8,545,260","7,133","60,954,194,106",3848,302.53,7.86%,44985,3271,8.50%,2.5,7.31
2019,Yunnan,"10,073,302","7,035","70,861,650,249",4714,695,14.74%,50764,3743,7.94%,2.3,6.42
2019,Tibet,"304,686","9,401","2,864,383,555",361,,0.00%,48961,165,4.57%,2.7,4.87
2019,Shaanxi,"8,148,847","8,450","68,857,757,150",3944,1020.35,25.87%,66577,3633,9.21%,2.8,6.86
2019,Gansu,"5,177,654","6,504","33,673,390,554",2509,227.88,9.08%,36040,2377,9.47%,2.4,6.84
2019,Qinghai,"1,047,452","9,907","10,377,421,200",590,238.71,40.46%,51321,404,6.85%,2.9,6.82
2019,Ningxia,"1,230,343","8,694","10,696,355,973",717,,0.00%,53841,514,7.17%,3,5.9
2019,Xinjiang,"5,875,100","8,287","48,689,303,740",2559,355.2,13.88%,55227,1586,6.20%,2.7,7.39
2018,Beijing,"3,531,143","22,619","79,870,570,403",2192,,17.00%,160335,1989,9.07%,4.6,5.74
2018,Tianjin,"1,624,928","17,148","27,863,615,373",1383,,,96034,1397,10.10%,2.8,4.37
2018,Hebei,"12,059,273","8,915","107,513,242,504",7426,,,44418,7854,10.58%,2.8,5.58
2018,Shanxi,"4,942,914","9,005","44,512,423,444",3502,,,46073,3147,8.99%,2.7,5.6
2018,Inner_Mongolia,"3,840,003","8,529","32,750,617,586",2422,,,66953,2047,8.45%,2.9,6.27
2018,Liaoning,"7,377,235","9,446","69,683,886,363",4291,,,56058,5353,12.47%,2.8,7.21
2018,Jilin,"4,023,247","9,802","39,437,074,068",2484,,,45658,2743,11.04%,2.9,6.18
2018,Heilongjiang,"5,828,164","8,771","51,121,157,710",3327,,,39268,3780,11.36%,2.4,6.63
2018,Shanghai,"4,181,160","18,390","76,893,204,864",2475,,,152880,2972,12.01%,3,5.74
2018,Jiangsu,"14,474,612","11,216","162,341,458,347",8446,,,110802,9435,11.17%,2.9,6.11
2018,Zhejiang,"10,186,432","11,517","117,313,062,771",6273,,,95333,6108,9.74%,3.3,5.79
2018,Anhui,"10,096,781","7,451","75,232,124,909",6076,,,56667,6840,11.26%,2,5.19
2018,Fujian,"5,746,659","9,204","52,892,824,102",4104,,,95984,3065,7.47%,2.3,4.88
2018,Jiangxi,"8,618,696","8,166","70,377,685,927",4513,,,51013,3707,8.21%,1.9,5.37
2018,Shandong,"18,380,531","9,275","170,473,910,866",10077,,,67493,12495,12.40%,2.9,6.06
2018,Henan,"19,109,867","8,157","155,869,630,186",9864,,,51057,8698,8.82%,2.5,6.34
2018,Hubei,"13,176,535","9,089","119,758,891,308",5917,,,71780,6059,10.24%,2.6,6.65
2018,Hunan,"15,377,036","8,021","123,334,592,645",6635,,,55215,7057,10.64%,2.6,6.99
2018,Guangdong,"17,087,344","11,549","197,346,862,059",12348,,,83201,7687,6.23%,2.4,4.56
2018,Guangxi,"9,295,105","8,652","80,421,248,460",4947,,,40495,4046,8.18%,2.2,5.2
2018,Hainan,"1,195,495","9,908","11,844,725,361",982,,,51220,629,6.41%,2.4,4.8
2018,Chongqing,"7,032,988","8,145","57,285,797,156",3163,,,69341,3678,11.63%,2.5,7.1
2018,Sichuan,"18,270,007","8,073","147,488,285,509",8321,,,52425,10244,12.31%,2.5,7.18
2018,Guizhou,"8,095,951","5,731","46,395,466,396",3822,,,41670,3344,8.75%,2.3,6.82
2018,Yunnan,"9,570,371","6,423","61,471,449,970",4703,,,45610,3790,8.06%,2.1,6.03
2018,Tibet,"309,053","8,732","2,698,774,417",354,,,45049,160,4.52%,2.4,4.88
2018,Shaanxi,"7,950,401","7,424","59,022,186,944",3931,,,62169,3536,9.00%,2.6,6.57
2018,Gansu,"4,848,139","5,804","28,136,174,687",2515,,,33213,2446,9.73%,2.3,6.17
2018,Qinghai,"984,615","8,621","8,488,661,300",587,,,47739,375,6.39%,2.7,6.49
2018,Ningxia,"1,202,902","7,284","8,762,299,039",710,,,50610,507,7.14%,2.8,5.96
2018,Xinjiang,"5,429,008","7,329","39,787,028,029",2520,,,52441,1458,5.79%,2.5,7.19
2017,Beijing,"3,284,204","21,737","71,389,399,189",2194,,100.00%,142715,2225,10.14%,4.3,5.56
2017,Tianjin,"1,580,238","16,527","26,116,119,355",1410,,,87404,1442,10.23%,2.6,4.39
2017,Hebei,"11,617,777","8,418","97,796,123,231",7409,,,42026,7326,9.89%,2.6,5.25
2017,Shanxi,"4,530,018","8,438","38,222,932,879",3510,,,41791,2746,7.82%,2.5,5.34
2017,Inner_Mongolia,"3,610,137","8,324","30,052,224,443",2433,,,61655,2260,9.29%,2.8,5.94
2017,Liaoning,"7,297,810","8,958","65,374,511,761",4312,,,51176,5063,11.74%,2.6,6.83
2017,Jilin,"3,822,805","9,270","35,438,549,192",2526,,,43522,2735,10.83%,2.6,5.66
2017,Heilongjiang,"5,990,396","8,689","52,052,347,963",3399,,,36898,3793,11.16%,2.3,6.38
2017,Shanghai,"3,909,466","18,185","71,094,421,103",2466,,,139381,2827,11.46%,2.8,5.57
2017,Jiangsu,"14,161,725","10,598","150,084,545,378",8423,,,102961,9210,10.93%,2.7,5.84
2017,Zhejiang,"9,463,499","11,310","107,035,959,090",6170,,,86808,5812,9.42%,3.2,5.54
2017,Anhui,"9,908,800","6,993","69,295,211,040",6057,,,49862,6713,11.08%,1.9,4.89
2017,Fujian,"5,494,190","8,545","46,945,655,874",4065,,,85218,3069,7.55%,2.1,4.66
2017,Jiangxi,"8,206,115","7,538","61,854,412,424",4511,,,45515,3723,8.25%,1.8,5.06
2017,Shandong,"18,189,206","9,057","164,741,457,663",10033,,,63939,10672,10.64%,2.6,5.84
2017,Henan,"17,345,749","7,740","134,254,362,685",9829,,,45480,8567,8.72%,2.3,5.85
2017,Hubei,"12,768,765","8,513","108,696,665,816",5904,,,63829,5955,10.09%,2.5,6.37
2017,Hunan,"14,648,555","7,748","113,501,398,707",6633,,,51482,6895,10.39%,2.5,6.59
